Cluster number: 0 
Lowest cutoff: -2.0 
Highest cutoff: 3.0 
Step size: 0.1 
Maximum number of models to be selected: 30000 

  DRest_Multiplier    nModelsA    nModelsB    nRunsA    nRunsB    KS_D-value    KS_p-value
------------------  ----------  ----------  --------  --------  ------------  ------------
               3         95996       80470         6         7    0.00884623   0.00210356
               2.9       95705       80219         6         7    0.00882959   0.00220435
               2.8       95370       79951         6         7    0.00888289   0.00207825
               2.7       94970       79630         6         7    0.00893493   0.0019724
               2.6       94543       79289         6         7    0.00893403   0.00203596
               2.5       94076       78869         6         7    0.00907758   0.00168926
               2.4       93507       78374         6         7    0.00909332   0.00172214
               2.3       92880       77821         6         7    0.0094432    0.00104363
               2.2       92172       77184         6         7    0.00966574   0.000775076
               2.1       91351       76495         6         7    0.00969514   0.000792681
               2         90339       75744         6         7    0.009575     0.00104073
               1.9       89231       74827         6         7    0.00974521   0.000873
               1.8       87991       73799         6         7    0.00987354   0.000793533
               1.7       86604       72672         6         7    0.00972168   0.00113348
               1.6       85032       71370         6         7    0.00982272   0.00111244
               1.5       83397       69884         6         7    0.0105665    0.000407948
               1.4       81508       68348         6         7    0.010438     0.000602446
               1.3       79390       66571         6         7    0.0102549    0.000978442
               1.2       77033       64613         6         7    0.0103313    0.0010972
               1.1       74410       62430         6         7    0.0103152    0.00144705
               1         71517       60007         6         7    0.0107425    0.00106482
               0.9       68371       57430         6         7    0.0110293    0.000999819
               0.8       64994       54708         6         7    0.011217     0.00112558
               0.7       61567       51806         6         7    0.0119525    0.00064047
               0.6       57751       48688         6         7    0.0116724    0.00148386
               0.5       53819       45473         6         7    0.0125931    0.000798243
               0.4       49884       42083         6         7    0.012519     0.00154888
               0.3       45710       38502         6         7    0.0129431    0.00180393
               0.2       41563       34963         6         7    0.0161865    9.43588e-05
               0.1       37321       31328         6         7    0.0169046    0.000117108
              -0         32991       27843         6         7    0.0165935    0.000483847
              -0.1       28872       24397         6         7    0.0196493    7.25417e-05
              -0.2       24919       20969         6         7    0.0220637    3.01565e-05
              -0.3       21083       17608         6         7    0.0222551    0.000146701
              -0.4       17490       14610         6         7    0.0233441    0.000335883
              -0.5       14057       11636         6         7    0.0269009    0.000195572

Optimal filter found.
Extracted at -0.5
